Name;Punkte
Maximilian Müller;72
Sophie Schmidt;68
Alexander Schneider;81
Maria Fischer;55
Paul Weber;64
Leonie Meyer;77
Lukas Wagner;61
Emilia Becker;93
Jonas Schulz;69
Anna Hoffmann;48
Elias Schäfer;73
Clara Koch;85
Ben Bauer;66
Mia Richter;70
Noah Klein;58
Emma Wolf;75
Finn Schröder;82
Hannah Neumann;63
Leon Schwarz;71
Lea Zimmermann;44
Felix Braun;79
Marie Krüger;67
Henry Hofman;54
Sofia Hartmann;72
Julian Lange;88
Luisa Werner;60
David Krause;74
Sarah Meier;69
Moritz Schmid;51
Elena Franke;76
Niklas Mayer;83
Lara Lehr;65
Jakob Herrmann;70
Laura Walter;59
Anton König;68
Johanna Huber;96
Simon Kaiser;72
Nele Fuchs;47
Jan Peters;78
Maja Möller;64
Tim Weiß;71
Charlotte Jung;56
Fabian Scholz;80
Lina Vogel;69
Sebastian Keller;62
Mila Günther;73
Erik Frank;84
Ida Berger;58
Oskar Kuhn;75
Mathilda Roth;67
Hannes Beck;70
Leni Lorenz;52
Leonard Baumann;89
Frieda Albrecht;66
Theo Schuster;74
Amelie Kraus;61
Mats Böhm;78
Paula Otto;42
Linus Simon;70
Victoria Graf;81
Samuel Ludwig;68
Josephine Martin;57
Rafael Jäger;73
Ronja Stein;65
Kilian Vogt;72
Nora Brand;59
Valentin Mans;86
Ella Heinrich;63
Jonathan Winkler;70
Elisa Seidel;77
Arthur Pohl;50
Greta Bergmann;71
Till Horn;91
Lotte Voigt;64
Benedikt Sauer;69
Marlene Wolff;75
Jannis Busch;56
Theresa Pfeiffer;82
Malte Ernst;67
Klara Kramer;73
Bruno Nowak;60
Pauline Engel;68
Lasse Ulrich;49
Merle Münch;76
Clemens Haase;72
Luise Dahm;54
Gregor Peters;88
Isabella Binder;65
Korbinian Thomas;71
Romy Rückert;69
Vincent Marquardt;58
Anni Scherer;79
Laurenz Freitag;74
Maila Reuter;62
Frederik Kühn;66
Tilda Rose;100
Kai Brand;70
Sina Klose;53
Julius Herold;81
Olivia Arnold;68
